Context,English,Chinese_Trad
language_english,English,
language_swedish,Svenska*,
language_french,Français,
language_italian,Italiano*,
language_german,Deutsch,
language_spanish,Español,
language_russian,Русский,
language_romanian,Romanian*,
language_bulgarian,български*,
language_macedonian,македонски*,
language_finnish,Suomi*,
language_danish,Dansk*,
language_icelandic,íslenska*,
language_turkish,Türkçe,
language_lithuanian,Lietuvių kalba*,
language_czech,Čeština*,
language_hungarian,Magyar*,
language_polish,Polski,
language_dutch,Nederlands,
language_greek,Ελληνικά*,
language_ukrainian,українська,
language_portuguese_european,Português europeu*,
language_portuguese_brazilian,Português (Brasil),
language_chinese,简体中文,
language_chinese_trad,正體中文,
language_japanese,日本語,
language_korean,한국어,
language_norwegian,Norsk*,
language_slovak,Slovenčina*,
language_thai,ไทย*,
language_estonian,Estonian*,
language_abenaki,Alnôbaôdwawôgan*,
language_croatian,Croatian*,
language_georgian,ქართული*,
language_serbian,Serbian*,
language_hindi,हिन्दी*,
language_latvian,Latviski*,
menu_startgame,Start Game,開始遊戲
menu_joingame,Join Game,加入遊戲
menu_settings,Settings,設定
menu_credits,Credits,製作團隊
OLD menu_exit,Exit,離開
menu_exit,Quit,離開遊戲
menu_selectcharacter,Select Character,選擇角色
menu_back,Back,返回
menu_new,New,新建
menu_remove,Remove,刪除
menu_start,Start,開始
menu_newcharacter,New Character,新建角色
menu_done,Done,完成
menu_cancel,Cancel,取消
menu_name,Name,名稱
menu_characterexist,A character with that name already exists.,該名稱的角色已存在。
menu_skintone,Skin Tone,膚色
menu_hairtone,Hair Tone,髮色
menu_blondness,Blondness,金髮程度
menu_hair,Hair,頭髮
menu_beard,Beard,鬍鬚
menu_selectworld,Select World,選擇世界
menu_serverpassword,Server Password,伺服器密碼
menu_startserver,Start Server,啟動伺服器
menu_public,Public,公開
menu_communityserver,Community Server,社群伺服器
menu_friends,Friends,好友
menu_passwordshort,The password is too short,密碼太短
menu_passwordinvalid,Invalid password,密碼無效
menu_community,Community,社群
menu_newworld,New World,新建世界
menu_seed,Seed,亂數種子
menu_entername,Enter Name,輸入名稱
menu_enterseed,Enter Seed,輸入亂數種子
menu_worldnametip,5 characters minimum,至少5個字
menu_selectserver,Select Server,選擇伺服器
menu_connect,Connect,連線
menu_loading,Loading...,載入中……
menu_ok,OK,確認
menu_close,Close,關閉
menu_closemenu,Close Menu,關閉選單
menu_logout,Logout,登出
menu_logoutconfirm,Logout?,是否登出？
menu_exitconfirm,Quit the Game?,是否離開遊戲？
menu_yes,Yes,是
menu_no,No,否
menu_enterpassword,Enter Password,輸入密碼
menu_password,Password,密碼
menu_sex,Sex,性別
menu_male,Male,男
menu_female,Female,女
menu_removecharacter,Remove Character?,是否刪除角色？
menu_removeworld,Remove World?,是否刪除世界？
menu_ndaaccept,Accept,接受
menu_ndadecline,Decline,拒絕
menu_resettutorial,Reset Tutorial,重置教學
feedback_topic,Feedback,意見回饋
feedback_subject,Subject,標題
feedback_text,Write something,寫點什麼吧
feedback_send,Send,發送
feedback_bug,Bug,錯誤
feedback_feedback,Feedback,建議
feedback_idea,Idea,點子
error_incompatibleversion,Incompatible version,版本不相容
error_failedconnect,Failed to connect,連線失敗
error_disconnected,Disconnected,已中斷連線
error_password,Wrong password,密碼錯誤
error_banned,Banned,已封禁
error_alreadyconnected,Already connected,已連線
error_serverfull,Server full,伺服器已滿
settings_language,Language,語言
settings_misc,Misc,其它
settings_requirerestart,Requires restart,需要重新啟動
settings_controls,Controls,操作
settings_graphics,Graphics,圖像
settings_audio,Audio,音訊
settings_resetcontrols,Reset Controls,重置操作
settings_mousesens,Mouse Sensitivity,滑鼠靈敏度
settings_attack,Attack,攻擊
settings_draw,Draw,拉弓
settings_secondaryattack,Secondary Attack,次要攻擊
settings_block,Block,格擋
settings_dodge,Dodge,閃避
settings_use,Use,使用
settings_gp,Forsaken Power,放逐者之力
settings_hide,Hide/Show Weapon,隱藏/顯示武器
settings_jump,Jump,跳躍
settings_run,Run,奔跑
settings_sit,Sit,坐下
settings_autorun,Auto-Run,自動奔跑
settings_walk,Toggle Walk,切換行走
settings_crouch,Crouch,蹲下
settings_altplace,Alternative Placement,替代放置
settings_forward,Forward,前進
settings_left,Left,左移
settings_backward,Backward,後退
settings_right,Right,右移
settings_invertmouse,Invert Mouse,滑鼠反轉
settings_gamepadenabled,Gamepad Enabled,啟用手把
settings_inventory,Inventory,背包
settings_map,Map,地圖
settings_zoomout,Zoom Out,縮小
